"Period","variable","n","min","max","median","iqr","mean","sd","se","ci"
"HNC","Phylo",67,0.707,818.302,354.954,470.294,313.733,241.161,29.462,58.824
"HNB","Phylo",67,2.133,852.074,403.895,329.21,382.05,228.135,27.871,55.646
"ContN","Phylo",67,0,799.639,30.49,191.243,126.984,181.075,22.122,44.168
"ContAll","Phylo",67,0,799.639,255.184,340.965,250.384,209.513,25.596,51.104
